env,episode,model,success,steps,reward,buffer_size,history_window,tokens,time,most_used_template,learned_templates_count,total_templates
MiniGrid-LavaGapS6-v0,3,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,0,300,20.476467609405518,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,4,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,0,299,20.40270471572876,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,5,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,0,286,19.877511501312256,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,6,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,0,300,20.4251127243042,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,7,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,0,300,20.417137384414673,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,8,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,0,299,20.324277639389038,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,9,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,0,300,20.520997047424316,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,0,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,1,300,9.596961975097656,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,1,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,1,300,9.654206991195679,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,2,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,1,299,9.440590858459473,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,3,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,1,300,9.483237981796265,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,4,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,1,300,9.433046579360962,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,5,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,1,300,9.604778289794922,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,6,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,1,300,9.449622869491577,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,7,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,1,300,9.560267448425293,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,8,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,1,300,9.441680431365967,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,9,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,1,300,9.537662982940674,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,0,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,2,300,9.563954591751099,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,1,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,2,300,9.63516354560852,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,2,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,2,300,9.524983167648315,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,3,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,2,300,9.72035551071167,Obstacle Avoidance,0,5
MiniGrid-LavaGapS6-v0,4,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,5,2,300,9.832013607025146,Obstacle Avoidance,0,5
